DEBUGPROFILE	DEBUGGING / PROFILING ONLY
optionEnableNewTransferManager	ENABLE/DISABLE TRANSFER MANAGER
GROUP_GENERAL	一般的なオプション
optionPathfindChirper	ルーティング/パスファインドの問題についてのチャープ
optionPathfindChirper_txt	道路網の経路の問題で、転送が目的地に到達できない場合、定期的に鳴くようになります。チャイムを鳴らしたCimをクリックすると、そのCimがどのビルで働いているか、またはどのビルに住んでいるかが分かります。また、カスタムビルディング名がある場合は、その名前も表示されます（それ以外は内部モデル名）。鳥は通知するだけで、問題は解決しなければなりません。
GROUP_SERVICE_OPTIONS	サービスのオプション
optionPreferLocalService	地区優先型の都市サービスを有効化
optionPreferLocalService_txt	優先度の低い都市サービスは同じ地区内(近隣の地区外)のみで照合して、 都市サービスの利便性が更に向上します。 未達成の要求で優先度が高くなると、 近くにある都市サービスから提供して処理します。 影響: ゴミ処理/警察関係/医療関係/整備車両/郵便/タクシー
GROUP_WAREHOUSE_OPTIONS	商品配送のオプション
optionWarehouseFirst	倉庫を優先
optionWarehouseFirst_txt	使用可能な場合は、 倉庫経由で全ての商品配送(輸出入)を行うことをお勧めします。 倉庫周辺の交通量が増えるため、 倉庫を戦略的かつ適切に配置することが要求されます
optionWarehouseReserveTrucks	都市内の配送用に倉庫のトラックを確保
optionWarehouseReserveTrucks_txt	「倉庫を優先」機能と併用を推奨: 倉庫にあるトラックの台数 25％を都市内の配送用に確保して、 全てのトラックが輸出で使用される現象を防止します
optionWarehouseNewBalanced	倉庫は地域性を改善しました
optionWarehouseNewBalanced_txt	BALANCED/FILL/EMPTYモードの倉庫は、ローカル倉庫からの購入またはローカル倉庫への販売を待ってから、それぞれインポート/エクスポートを決定します。 これにより、不要なインポート/エクスポートが削減され、都市内の倉庫転送の信頼性が向上します。 インポート/エクスポートは引き続き行われることに注意してください。
GROUP_EXPORTIMPORT_OPTIONS	輸出入のオプション
optionPreferExportShipPlaneTrain	輸出入は高速道路経由よりも、船舶/飛行機/鉄道を優先
optionPreferExportShipPlaneTrain_txt	これは実験的な機能です！
