FIX_UNROUTED_TRANSFER_MATCH_DESCRIPTION	修正无法连接的运输(详细请看说明书)
FIX_UNROUTED_TRANSFER_MATCH_ENALBE	修正无法连接的运输
DEBUG_MODE_DESCRIPTION	在BuildingUI和log里显示调试信息(会影响游戏帧数)
DEBUG_MODE_DESCRIPTION_ENALBE	打开调试模式
FAILED_BUILDING_COUNT	无法连接的建筑数量
GENERATE_DETAIL_REPORT	把无法连接的建筑的详细信息打印到MoreEffectiveTransfer.txt
EXPERIMENTAL_FEATURES	实验性功能
CONSIDER_PROIRITY	运输匹配考虑距离和优先级
POLICE	警车
FIRETRUCK	消防车
HEARSE	灵车
TAXI	出租车
GARBAGE	垃圾服务
INCOMING_ONLY	Incoming only mode
OUTGOING_ONLY	Outgoing only mode
BALANCE	Balance mode
INCOMING_FIRST	Incoming first mode
TRANSFER_MATCH_MODE	匹配方式(详细请看说明书)
